Base,1993=100,1994=100,1995=100,1996=100,1997=100,1998=100,1999=100,2000=100,2001=100,2002=100,2003=100,2004=100,2005=100,2006=100,2007=100,2008=100,2009=100,2010=100,2011=100,2012=100,2013=100,2014=100,2015=100,2016=100,2017=100,2018=100,2019=100,2020=100,2021=100,2022=100,2023=100,2024=100,2025=100
1993,100,92.28444178,66.48292925,52.47405057,44.57012267,38.51680088,33.40019747,30.17236821,28.33804403,26.86011353,25.75776681,23.82387714,22.49976958,21.20476203,19.98040438,18.79440565,17.85802334,17.10981713,16.19180131,15.48828989,15.22880883,14.59140254,14.13547291,13.32559799,12.50436214,11.88576738,11.39367346,10.89055278,10.42278119,9.786907052,9.369055274,9.056111147,8.747100941
1994,108.3606273,100,72.04131918,56.86121036,48.2964645,41.73704705,36.19266349,32.69496746,30.70728227,29.10578751,27.91127769,25.81570271,24.38089145,22.97761315,21.65089152,20.36573586,19.35106611,18.54030517,17.54553747,16.78320809,16.50203278,15.81133533,15.31728712,14.43970157,13.54980525,12.87949209,12.34625603,11.8010713,11.29419108,10.60515387,10.15236707,9.813258847,9.478413449
1995,150.4145517,138.8092294,100,78.92860792,67.0399502,57.93487338,50.23875729,45.38363239,42.62454189,40.40151935,38.74342948,35.83457799,33.84292754,31.89504775,30.05343568,28.26952101,26.86106575,25.73565473,24.35482535,23.29664181,22.90634454,21.94759272,21.26180821,20.04363848,18.80838026,17.87792372,17.13774285,16.38097614,15.67737961,14.72093237,14.09242249,13.62170898,13.15691267
1996,190.5703846,175.8668157,126.696774,100,84.9374542,73.4016156,63.65088478,57.49959816,54.00391951,51.18742166,49.08667529,45.40125429,42.87789742,40.40999656,38.07673348,35.81657114,34.03210377,32.60624431,30.85677803,29.51609363,29.02159957,27.80689195,26.9380251,25.39464335,23.82961103,22.65075261,21.71296733,20.75416831,19.86273421,18.65094641,17.85464467,17.25826585,16.66938391
1997,224.3655481,207.0544936,149.1647886,117.7336912,100,86.41843141,74.93853611,67.69639931,63.5808078,60.26484093,57.79155468,53.45257251,50.48173133,47.57618054,44.82914379,42.16817125,40.06725194,38.38853497,36.32882375,34.75038651,34.16820041,32.73808029,31.71513127,29.89805097,28.05548065,26.66756712,25.5634779,24.43464842,23.38513015,21.95844765,21.02093222,20.31879341,19.62548097
1998,259.626962,239.5952926,172.6076095,136.2367833,115.7160554,100,86.71591799,78.33560296,73.57320281,69.73609674,66.87410746,61.85320844,58.41546821,55.05327946,51.87451689,48.79534443,46.36424347,44.42169841,42.03828183,40.21177652,39.53809373,37.88321514,36.69949888,34.59684523,32.46469554,30.85865675,29.58104826,28.27481132,27.06035017,25.40944945,24.32459358,23.51210625,22.70983244
1999,299.3994275,276.2990904,199.0495096,157.107007,133.4426921,115.3190813,100,90.33589769,84.84394159,80.41902612,77.11860637,71.32855175,67.3641813,63.48693611,59.82121632,56.27034293,53.46681964,51.22669452,48.47816042,46.37185127,45.59496647,43.68657568,42.32152497,39.8967641,37.43798866,35.58591948,34.1125931,32.60625266,31.20574722,29.30194368,28.05089785,27.11394493,26.18877014
2000,331.4290721,305.8574691,220.3437555,173.9142589,147.718344,127.6558758,110.6979645,100,93.92051638,89.02222503,85.36872754,78.95925493,74.57077753,70.27874603,66.22086883,62.29012426,59.18668105,56.70690814,53.66433683,51.33269548,50.47269981,48.36015006,46.84906671,44.16490577,41.44309141,39.39288853,37.76194622,36.09445801,34.544127,32.43665523,31.05177296,30.01458514,28.99043548
2001,352.8825063,325.655651,234.606627,185.1717448,157.2801659,135.9190523,117.8634539,106.4730091,100,94.7846418,90.89465309,84.07029473,79.39775078,74.82789569,70.50735173,66.32216971,63.01784033,60.37755149,57.13803426,54.65546556,53.73980229,51.490507,49.88161108,47.02370417,44.12570651,41.94279381,40.20628045,38.43085558,36.7801715,34.53628289,33.06175706,31.95743199,30.86698903
2002,372.2992455,343.5742805,247.515444,195.3604943,165.9342304,143.3977591,124.3486832,112.3314992,105.5023241,100,95.8959715,88.69611483,83.76647237,78.94516904,74.38689475,69.97143044,66.48528616,63.69972007,60.2819541,57.66278642,56.69674039,54.32368158,52.62625899,49.61110078,46.5536459,44.25062227,42.41856031,40.54544581,38.80393574,36.43658111,34.8809221,33.71583347,32.56539081
2003,388.2324144,358.2781164,258.1082814,203.7212735,173.0356633,149.534706,129.670393,117.1389136,110.0174725,104.2796673,100,92.49201341,87.35139866,82.32375959,77.57040633,72.96597484,69.33063518,66.42585613,62.86182115,60.13056181,59.12317223,56.64855439,54.87848777,51.73429082,48.54598704,46.14440166,44.23393355,42.28065599,40.46461508,37.99594554,36.3737095,35.15875896,33.95908117
2004,419.7469599,387.3611388,279.0600744,220.258232,187.0817349,161.6731007,140.1963135,126.6475983,118.9480783,112.7445099,108.1174431,100,94.44209877,89.00634396,83.86713995,78.88894635,74.95851006,71.81793723,67.96459374,65.01162597,63.92246211,61.24696858,59.33321781,55.93379245,52.48667993,49.89014722,47.82459795,45.71276419,43.74930719,41.08024481,39.32632468,38.01275122,36.71569028
2005,444.4489961,410.157275,295.4827116,233.2203909,198.0914627,171.1875348,148.4468423,134.1007876,125.9481522,119.3795049,114.480136,105.8849828,100,94.24435195,88.80270667,83.53154724,79.36980545,76.04441045,71.96429836,68.83754894,67.68428798,64.85134212,62.82496744,59.22548649,55.57551199,52.82617378,50.63906729,48.40295248,46.32394638,43.49781014,41.64067211,40.24979508,38.87640232
2006,471.5921823,435.2062129,313.5282969,247.4635202,210.1892141,181.6422218,157.5127201,142.2905297,133.6400003,126.6701956,121.4716146,112.3515421,106.1071544,100,94.22602504,88.63294777,84.21704199,80.68855998,76.35926914,73.04156431,71.81787192,68.81191369,66.66178518,62.84247837,58.96959429,56.05234976,53.7316733,51.3589955,49.15302129,46.15428854,44.18373223,42.70791219,41.25064422
2007,500.490371,461.874745,332.7406593,262.6275704,223.0691723,192.7728796,167.1647722,151.0097976,141.8291817,134.4322818,128.9151427,119.2362111,112.6091802,106.1277921,100,94.06419058,89.37768727,85.63298721,81.03840643,77.51739955,76.21872183,73.02856473,70.74668081,66.69333482,62.58312846,59.48712124,57.02423855,54.50616799,52.16501627,48.98252741,46.8912195,45.32496428,43.77839795
2008,532.0732235,491.0208042,353.7378648,279.2003724,237.1456884,204.9375841,177.7135073,160.5390922,150.7791444,142.9154719,137.0501802,126.760471,119.7152493,112.8248609,106.3103816,100,95.01776044,91.03675552,86.15223916,82.40904331,81.02841407,77.63694587,75.21106638,70.90193878,66.53236271,63.24098562,60.62268564,57.94571521,55.45682788,52.07351183,49.85023441,48.18514251,46.54098194
2009,559.9723894,516.7673937,372.2860475,293.8401948,249.5803809,215.6834502,187.0318838,168.9569312,158.6852223,150.4092195,144.2363823,133.407134,125.9924973,118.7408126,111.8847478,105.2434824,100,95.81025179,90.66961667,86.730147,85.27712471,81.70782547,79.15474541,74.61966947,70.02097545,66.55701558,63.8014255,60.9840886,58.36469689,54.80397727,52.46412268,50.71172198,48.98135014
2010,584.4597827,539.3654479,388.5659839,306.6897219,260.4944421,225.1152108,195.2107215,176.3453577,165.6244706,156.9865612,150.5437879,139.2409805,131.5021044,123.9333061,116.777428,109.8457424,104.3729644,100,94.63456674,90.52282546,89.00626302,85.2808796,82.61615426,77.88276106,73.08296779,69.46753019,66.59143913,63.65090109,60.91696432,57.20053569,54.7583601,52.92932753,51.12328715
2011,617.5965113,569.9454929,410.5962517,324.0779057,275.2635227,237.8784185,206.2784543,186.3434935,175.0147713,165.8871241,159.0790692,147.1354341,138.957792,130.9598705,123.3982804,116.0735936,110.2905291,105.6696337,100,95.65513805,94.05259208,90.11599307,87.30018756,82.29842831,77.22650434,73.40608467,70.36692978,67.25967401,64.37073304,60.44359652,57.86295852,55.93022651,54.02179025
2012,645.6490722,595.8336421,429.2464159,338.7982206,287.7665835,248.6833675,215.6480651,194.8076154,182.9643184,173.4220738,166.3047824,153.8186417,145.2695535,136.9083493,129.0032955,121.3459057,115.300162,110.4693755,104.5422149,100,98.32466295,94.20925515,91.2655497,86.03659979,80.73429813,76.74034679,73.56314696,70.31475295,67.29459008,63.18907457,60.49121845,58.4706976,56.47557607
2013,656.6501759,605.9859493,436.5602719,344.5709453,292.6697889,252.9206408,219.3224554,198.1269089,186.081816,176.3769827,169.1384211,156.4395311,147.7447765,139.2411072,131.2013605,123.4134978,117.2647417,112.3516443,106.3234918,101.7038828,100,95.81447047,92.82060773,87.50256265,82.10991598,78.04791239,74.8165768,71.51283396,68.44121104,64.26574237,61.52191794,59.46696978,57.43785371
2014,685.335078,632.457651,455.630835,359.6230754,305.4546849,263.9691474,228.9032694,206.7818232,194.2105561,184.08178,176.5270113,163.2733869,154.1988134,145.3236724,136.9327199,128.8046546,122.3872982,117.2595785,110.9680941,106.1466836,104.3683689,100,96.87535429,91.32499738,85.69678001,81.45733312,78.08484087,74.63677836,71.43097562,67.07310707,64.20942227,62.06470639,59.94695105
2015,707.4400738,652.8571231,470.3268838,371.2224621,315.3069087,272.4832846,236.2863816,213.451424,200.4746796,190.019207,182.2207646,168.539654,159.1723865,150.0109841,141.3493875,132.9591572,126.3348135,121.0417029,114.5472911,109.5703695,107.7346965,103.2254289,100,94.27062027,88.46086875,84.08468151,80.60341192,77.0441346,73.73493098,69.23650247,66.28045155,64.06655939,61.88049736
2016,750.4353656,692.535088,498.9114132,393.7838332,334.469963,289.0436955,250.646894,226.4241217,212.6587043,201.5677911,193.2953916,178.7827995,168.8462281,159.1280334,149.9400206,141.0398668,134.0129227,128.3981187,121.5090033,116.2296049,114.2823673,109.499045,106.0775878,100,93.83715573,89.19500187,85.50215506,81.72655954,78.21623616,73.44441171,70.3087042,67.96026079,65.64133892
2017,799.7209205,738.0179873,531.6778938,419.6459602,356.4365952,308.0269146,267.1083666,241.2947408,226.6252666,214.8059471,205.9902499,190.5245295,179.9353644,169.5789181,159.7874738,150.3027939,142.8143486,136.830787,129.4892225,123.8630945,121.7879702,116.6904987,113.0443341,106.5675949,100,95.05296828,91.11759025,87.09402891,83.35316171,78.26794316,74.92629508,72.42361543,69.95239616
2018,841.3423957,776.4281333,559.3490697,441.4864342,374.9873378,324.0581753,281.0100215,253.8529256,238.4199785,225.9855226,216.7110124,200.4403786,189.3001004,178.4046528,168.1036129,158.1253028,150.2471214,143.9521453,136.228489,130.3095492,128.1264251,122.7636557,118.9277264,112.1139054,105.2045,100,95.85980522,91.62683763,87.691277,82.34139825,78.8258341,76.19290248,73.59306861
2019,877.6800597,809.9621437,583.5074132,460.5542783,391.1830792,338.054281,293.1468731,264.8168594,248.7173618,235.7458604,226.0707832,209.0974191,197.4759911,186.109968,175.3640251,164.9547508,156.7363099,150.1694532,142.1122114,135.937632,133.6602185,128.0658306,124.0642271,116.9561164,109.7482931,104.3190102,100,95.58421011,91.47867221,85.89773166,82.23032993,79.48368172,76.77156076
2020,918.2270364,847.3806948,610.464231,481.8309194,409.2549165,353.6716793,306.6896434,277.0508425,260.2075819,246.6368244,236.5147789,218.757281,206.5989674,194.7078579,183.465475,172.575314,163.9771985,157.1069667,148.6774973,142.2176653,139.83504,133.9822031,129.795734,122.3592435,114.8184339,109.1383295,104.6197901,100,95.70479487,89.86602657,86.02919858,83.155661,80.31824574
2021,959.4368157,885.4109096,637.8616994,503.4553598,427.6221657,369.5443679,320.453791,289.4848088,271.8856273,257.7058179,247.1294977,228.5750482,215.8710728,203.4462936,191.6993555,180.3204471,171.3364505,164.1578846,155.3501029,148.6003554,146.1107986,139.9952879,135.6209312,127.850693,119.9714539,114.0364281,109.3150978,104.4879728,100,93.89918938,89.89016559,86.88766442,83.92290674
2022,1021.773268,942.9377565,679.3047988,536.1658212,455.4055988,393.5543751,341.2742891,308.2931927,289.5505585,274.4494597,263.1859757,243.4260079,229.8966309,216.6645899,204.1544307,192.0362128,182.4685087,174.8235376,165.4434973,158.2552058,155.6038977,149.0910506,144.4324835,136.1573981,127.7662296,121.4455937,116.4175096,111.276757,106.497192,100,95.73050224,92.53292281,89.37553912
2023,1067.343474,984.9919664,709.6012064,560.078354,475.7162954,411.1065605,356.4948278,322.0428029,302.4642635,286.6896687,274.923843,254.2825978,240.1498221,226.3276436,213.2595421,200.6008621,190.6064466,182.6205164,172.8221345,165.3132513,162.5436972,155.7403828,150.8740476,142.2299005,133.4644932,126.8619624,121.60963,116.2396043,111.2468748,104.4599137,100,96.65981129,93.36161102
2024,1104.22673,1019.029474,734.1222758,579.4324928,492.1552081,425.312811,368.8139084,333.1713549,312.916257,296.5965533,284.4241462,263.0696195,248.4484699,234.1486504,220.6289659,207.532851,197.1930672,188.9311742,178.7941981,171.0258371,168.1605778,161.1221672,156.0876703,147.144815,138.0765092,131.2458205,125.8119879,120.2563948,115.091136,108.0696437,103.4556127,100,96.5878267
2025,1143.235921,1055.028888,760.0567285,599.9021953,509.5416523,440.3379033,381.8430551,344.9413516,323.9706987,307.0744663,294.4720427,272.3631212,257.2254479,242.4204565,228.42316,214.8643966,204.1593376,195.6055754,185.1104888,177.0676936,174.1012129,166.8141553,161.6018039,152.3430229,142.9543597,135.8823621,130.2565677,124.5047113,119.1569786,111.887437,107.1104053,103.5327157,100